3 15225 23341
0 0     -385.99 387.12
1 0     -38.44 492.12
2 0     -667.92 123.11
0 1     383.88 -15.29999
1 1     559.75 -106.15
0 2     591.55 136.44
1 2     863.86 -23.46997
2 2     494.72 112.52
0 3     592.5 125.75
1 3     861.08 -35.21997
2 3     498.54 101.56
0 4     348.72 558.38
1 4     776.03 483.53
2 4     7.780029 326.35
0 5     14.01001 96.42001
1 5     207.13 118.36
0 6     202.76 340.99
1 6     543.1801 294.81
2 6     -58.41998 110.83
0 7     27.84998 63.40997
1 7     207.67 82.59
0 8     -27.5 97.88
1 8     170.2 131.02
0 9     -287.87 424.55
1 9     66.48999 504.6
0 10     205.78 479.18
1 10     591.8 435.47
0 11     -310.54 376.33
1 11     33 463.47
2 11     -590.9 107.88
0 12     -216.88 -486.16
1 12     -178.04 -368.3
0 13     -313.27 404.41
1 13     36.88 491.24
0 14     -446.68 221.62
1 14     -135.11 348.66
0 15     -394.8 308.64
1 15     -64.62 418.67
0 16     -370.51 327.1
1 16     -36.82001 430.6
0 17     -553.47 437.56
1 17     -185.37 578.73
0 18     -434.14 427.44
1 18     -75.42999 542.44
2 18     -723.17 173.14
0 19     -504.44 333.07
1 19     -163.26 468.32
0 20     -536.52 287.7
1 20     -203.52 433.3
0 21     -526.79 277.59
1 21     -196.67 421.46
0 22     -479.72 407.83
1 22     -122.83 534.02
0 23     -433.59 406.27
1 23     -79.28003 521.74
2 23     -723.76 145.21
0 24     -517.14 370.95
1 24     -166.43 507.57
0 25     -428.91 422.44
1 25     -71.35999 536.37
2 25     -718.93 166.08
0 26     -506.95 400.71
1 26     -150.25 533.48
0 27     -447.89 360.99
1 27     -104.68 482.24
0 28     -371.77 334.94
1 28     -36.33002 438.46
0 29     292.9399 -240.73
1 29     378.7 -300.83
0 30     -228.75 454.24
1 30     132.2 519.54
2 30     -509.01 204.16
0 31     -456.85 349.16
1 31     -114.49 472.77
0 32     -371.76 353.47
1 32     -31.97998 456.35
0 33     -368.68 420.09
1 33     -13.58002 519.91
2 33     -653.68 162.59
0 34     -432.42 418.92
1 34     -75.21002 534
2 34     -722.29 162.6
0 35     -324.09 399.78
1 35     25.03003 489.61
2 35     -605.63 137.16
0 36     -322.72 404.57
1 36     27.38 493.7
2 36     -604.55 143.24
0 37     -451.21 294.92
1 37     -119.69 419.27
0 38     -536.75 433.15
1 38     -170.91 570.89
0 39     -357.2 486.93
1 39     12.85999 582.17
2 39     -641.92 245.95
0 40     -107.8 509.75
1 40     267.8101 545.69
2 40     -393.25 271.26
0 41     2.109985 549.5
1 41     391.61 559.46
0 42     148.75 563.06
1 42     552.71 538.28
2 42     -163.22 330.85
0 43     -118.85 529.87
1 43     261.5601 568.65
2 43     -405.17 294.61
0 44     -203.63 513.69
1 44     171.46 572.56
2 44     -486.54 276.3
0 45     71.31 570.13
1 45     470.4 564.02
2 45     -232.05 338.49
0 46     176.4301 -36.12
1 46     320.1801 -58.72998
0 47     90.95001 91.73999
1 47     277.85 92.73001
0 48     -91.42999 105.76
1 48     125.96 153.1
0 49     547.5 215.25
1 49     842.67 73.70001
0 50     26.72998 141.97
1 50     235.9399 158.93
0 51     205.12 84.92999
1 51     392.35 52.75
0 52     136.44 73.83002
1 52     316.33 61.77002
2 52     257.0699 125.23
0 53     94.15997 74.65002
1 53     274.54 74.96002
2 53     215.8 118.67
0 54     209.46 475.5
1 54     594.77 431.11
2 54     -99.34998 233.73
0 55     23.28998 125.82
1 55     226.4301 144.27
2 55     103.7 132.83
0 56     57.20001 56.53998
1 56     232.75 67.75
2 56     186.04 94.04999
0 57     209.46 475.5
1 57     594.77 431.11
2 57     -99.34998 233.73
0 58     486.2 356.85
1 58     837.3101 237.72
2 58     275.61 238.57
0 59     206.03 436.51
1 59     580.2 390.76
2 59     -98.92999 191.3
0 60     -41.65002 5.609985
1 60     126.54 45.42999
2 60     84.04999 2.940002
0 61     29.59003 429.02
1 61     389.96 429.22
2 61     -256.86 178.75
0 62     532.51 207.76
1 62     824.29 69.31
0 63     44.94 -156.42
1 63     154.9 -136.39
2 63     260.76 -122.15
0 64     -98.78998 -222.32
1 64     8.969971 -157.59
0 65     174.74 -242.26
1 65     253.21 -260.7
2 65     430.33 -169.71
0 66     143.16 66.53998
1 66     320.11 52.72998
2 66     267.98 121.95
0 67     65.96002 -83.71997
1 67     198.09 -71.98999
2 67     250.62 -42.96997
0 68     73.03003 -123.6
1 68     193.35 -113.18
0 69     580.17 198.74
1 69     871.49 45.98999
2 69     465.46 169.05
0 70     121.98 -88.92999
1 70     250.38 -94.45001
2 70     309.96 -34.65997
0 71     652.25 -57.17999
1 71     866.1 -248.07
2 71     615.1 -56.21997
0 72     38.97998 -98.63
1 72     168.8199 -78.81
0 73     207.53 161.3
1 73     428.5601 125.54
2 73     243.53 170.63
0 74     209.54 324.19
1 74     543.63 275.99
0 75     164.66 -109.6
1 75     288.09 -128.49
0 76     39.57001 -91.28003
1 76     171.45 -71.82001
2 76     222.6899 -61.79999
0 77     37.38 -108.34
1 77     164.37 -87.5
2 77     223.8 -82.84998
0 78     237.13 522.23
1 78     638.1 472.91
0 79     324.59 516.81
1 79     735.26 444.88
0 80     593.28 156.15
1 80     871.48 -2.419983
2 80     490.13 134.41
0 81     137.8 -107.83
1 81     261.4399 -117.87
2 81     328.88 -52.29999
0 82     118.09 426.43
1 82     482.75 403.77
2 82     -175.51 176.44
0 83     187.53 14.85999
1 83     348.52 -11.92999
2 83     329.9301 82.63
0 84     101.25 -47.21002
1 84     242.51 -46.95001
2 84     276.17 7.289978
0 85     101.12 -60.97998
1 85     237.8101 -60.79999
2 85     281.04 -6.869995
0 86     182.51 -83.96002
1 86     313.08 -108.57
2 86     362.37 -17.47998
0 87     2.619995 -47.84998
1 87     149.92 -18.78003
2 87     163.83 -29.02002
0 88     -17.64001 -48.46002
1 88     131.77 -13.71002
2 88     138.08 -39.88
0 89     89.09003 387.33
1 89     442.16 372.41
2 89     -197.21 130.3
0 90     552.77 246.82
1 90     857.91 105.02
2 90     422.29 204.18
0 91     -558.07 391
1 91     -200.07 535.97
0 92     -278.41 -463.62
1 92     -225.56 -327.84
0 93     -495.23 379.61
1 93     -143.96 510.68
0 94     -543.21 356.16
1 94     -194.08 499.36
0 95     -352.07 469.5
1 95     13.85999 564.05
2 95     -636.26 224.87
0 96     -379.55 453.51
1 96     -16.40997 554.78
0 97     -350.87 399.86
1 97     -0.8800049 495.77
2 97     -634.81 137.41
0 98     -499.3 404.09
1 98     -142.23 535.04
0 99     -543.4 428.51
1 99     -177.88 567.76
0 100     -428.86 397.79
1 100     -76.72998 512.49
2 100     -718.85 133.84
0 101     -430.56 472.96
1 101     -61.25 585.4
2 101     -720.19 229.86
0 102     -447 391.44
1 102     -95.47998 510.71
0 103     -512.32 444.25
1 103     -145.42 575.87
0 104     -424.46 456.34
1 104     -59.28003 568.17
2 104     -713.81 208.68
0 105     -447.36 399.7
1 105     -94.03003 519.06
0 106     -484.68 384.88
1 106     -132.77 513.2
0 107     -540.09 439.52
1 107     -172.6 577.69
0 108     -124.98 109.32
1 108     99.91998 164.7
2 108     -139.49 1.049988
0 109     -426.93 428.86
1 109     -68.88 542.17
0 110     -315.99 418.8
1 110     37.53003 505.8
2 110     -596.57 160.5
0 111     40.15997 -231.6
1 111     125.8 -207.19
0 112     -1.080017 -222.74
1 112     90.26001 -185.6
2 112     241.15 -204.29
0 113     44.28003 -232.03
1 113     129.59 -208.89
0 114     23.58002 110.74
1 114     220.99 129.66
2 114     114.29 123.15
0 115     -60.75 69.03998
1 115     131.12 111.27
0 116     62.88 509.48
1 116     445.89 503.48
2 116     -234.35 271.6
0 117     131.7 13.95001
1 117     291.15 4.320007
2 117     282.58 74.84998
0 118     -35.58002 488.65
1 118     337.28 506.68
0 119     556.01 253.42
1 119     863.5 111.38
2 119     423.86 211.72
0 120     1.669983 491.52
1 120     376.9 500.03
2 120     -289.24 249.73
0 121     -40.17999 490.95
1 121     332.65 510.03
2 121     -327.73 249.64
0 122     118.38 0.4099731
1 122     274.52 -5.5
2 122     275.5601 59.35999
0 123     559.8 157.77
1 123     836.8101 8.580017
0 124     -26.09003 503.08
1 124     351.15 519.11
2 124     -315.47 264.71
0 125     127.29 448.37
1 125     498.3199 423.91
2 125     -169.75 203.1
0 126     311.26 575.3
1 126     737.98 511.16
2 126     -25.34998 343.77
0 127     -112.24 497.29
1 127     260.42 534.45
2 127     -396.27 257.31
0 128     125.09 -34.98999
1 128     269.27 -42.01001
0 129     165.9399 15.34003
1 129     326.22 -4.469971
2 129     313.21 81.78003
0 130     486.74 369.69
1 130     842.1801 251.35
0 131     307.72 544.27
1 131     724.48 478.56
2 131     -24.83002 310.5
0 132     143.4 80.89001
1 132     325.92 66.84003
0 133     186.61 580.54
1 133     598.05 546.66
0 134     54.40002 577.88
1 134     454.59 576.08
2 134     -248.07 347.13
0 135     494.85 421.92
1 135     867.95 305.64
0 136     168.26 52.14001
1 136     340.36 31.21002
2 136     298.72 112.73
0 137     522.25 357.33
1 137     876.21 228.95
2 137     316.83 254.27
0 138     -9.960022 -11.44
1 138     149.3199 20.47998
2 138     135.08 3.349976
0 139     582.65 121.16
1 139     849.28 -37.03998
2 139     488.4399 91.65997
0 140     371.04 512
1 140     787.84 427.77
2 140     32.57001 277.73
0 141     -50.90002 451.31
1 141     309.49 473.45
2 141     -325.62 211.89
0 142     -41.15997 120.67
1 142     166.85 155.39
2 142     19.52002 96.78003
0 143     212.6899 496.55
1 143     603.78 451.96
2 143     -99.09998 258.46
0 144     198.64 575.7
1 144     610.63 538.93
0 145     -2.119995 -22.44
1 145     153.1 7.52002
0 146     32.34998 0.4699707
1 146     191.36 20.10999
2 146     183.48 33.94
0 147     86.40002 -33.59003
1 147     231.99 -28.96002
0 148     43.40002 13.79999
1 148     205.91 30.04999
2 148     190.36 51.01001
0 149     211.45 523.07
1 149     609.99 480.17
2 149     -104.25 287.53
0 150     41.79999 490.69
1 150     418.46 488.95
0 151     323.65 562.11
1 151     747.95 493.76
0 152     129.48 523.79
1 152     520.75 501.57
0 153     256.58 571.04
1 153     674.36 519.39
2 153     -71.51001 338.54
0 154     308.83 553.4
1 154     728.1801 487.89
2 154     -25.16998 320.7
0 155     200.72 20.82001
1 155     363.48 -9.919983
0 156     154.42 12.51001
1 156     313.08 -3.929993
2 156     303.98 77.34998
0 157     302.33 543.27
1 157     718.42 479.15
0 158     397.12 572.76
