5 2335 5621
0 0 -146.994568 -376.583908
1 0 -97.938538 -398.512627
0 1 74.952515 -305.906143
1 1 30.829712 -302.431335
2 1 165.572021 -272.936844
0 2 414.988281 -296.782425
1 2 264.284241 -243.021881
2 2 336.736206 -184.269043
0 3 -92.517517 -293.900986
1 3 -144.067627 -316.839920
2 3 -2.727234 -310.102707
3 3 -121.313721 -298.737427
4 3 -92.517517 -293.900986
0 4 -78.658813 -294.377243
1 4 -129.986450 -315.160202
0 5 -83.087891 -292.688110
1 5 -134.741028 -314.408386
0 6 -58.580017 -292.633850
1 6 -109.992920 -310.378662
2 6 28.881653 -299.408691
3 6 -87.926208 -295.685135
4 6 -58.580017 -292.633850
0 7 -105.528809 -290.649490
1 7 -157.370300 -315.542480
0 8 -82.297119 -288.031403
1 8 -134.111511 -310.007828
2 8 5.913940 -302.202072
0 9 -116.404846 -284.725510
1 9 -168.401184 -311.709625
0 10 -80.405029 -283.509995
1 10 -132.334534 -305.176529
0 11 -85.270874 -282.158661
1 11 -137.575378 -304.641769
2 11 1.755737 -297.349335
3 11 -114.473816 -287.398727
4 11 -85.270874 -282.158661
0 12 132.334229 -282.543762
1 12 93.475891 -269.850723
2 12 226.119019 -231.082138
3 12 105.119568 -276.384445
4 12 132.334229 -282.543762
0 13 -111.640808 -280.703003
1 13 -163.621399 -307.935257
2 13 -21.742737 -304.163681
3 13 -139.879578 -288.135742
0 14 138.052490 -281.166901
1 14 99.274963 -267.667679
2 14 231.813171 -227.888382
3 14 110.843933 -274.643051
4 14 138.052490 -281.166901
0 15 -89.340820 -279.335892
1 15 -141.283691 -302.821411
2 15 -1.386475 -296.221695
3 15 -118.272156 -285.154495
4 15 -89.340820 -279.335892
0 16 46.730469 -278.875122
1 16 -0.513611 -280.617340
0 17 542.780762 -278.131836
1 17 381.295288 -201.211227
0 18 -57.999207 -276.089218
1 18 -109.882263 -294.425583
2 18 27.086365 -284.033005
3 18 -87.362549 -280.092010
4 18 -57.999207 -276.089218
0 19 -77.787476 -275.354324
1 19 -129.692078 -297.315704
2 19 9.071655 -289.428940
0 20 -83.463867 -273.889908
1 20 -135.856140 -296.628098
0 21 592.451782 -274.172821
1 21 428.258423 -187.551849
2 21 485.940186 -99.544312
0 22 10.226013 -272.956421
1 22 -38.989685 -280.496033
2 22 93.853882 -260.801041
0 23 597.562500 -272.388428
1 23 432.802856 -184.756287
2 23 489.911377 -95.635284
0 24 91.851013 -270.199295
1 24 47.997192 -264.566467
0 25 556.928345 -268.893631
1 25 392.432251 -188.347321
0 26 611.537720 -266.572067
1 26 445.264893 -176.048798
0 27 588.287109 -264.799805
1 27 422.325439 -178.346802
0 28 -97.313232 -263.800690
1 28 -150.017578 -289.393814
2 28 -11.074524 -284.662033
3 28 -125.951599 -271.105621
4 28 -97.313232 -263.800690
0 29 -92.976624 -262.664642
1 29 -145.719971 -287.523285
2 29 -7.388916 -282.083450
3 29 -121.869812 -269.203201
4 29 -92.976624 -262.664642
0 30 614.493042 -262.697662
1 30 447.213013 -171.336609
2 30 501.858887 -79.004913
0 31 -102.059387 -261.832153
1 31 -154.902649 -288.310989
2 31 -15.985046 -284.075485
3 31 -130.808838 -269.244385
4 31 -102.059387 -261.832153
0 32 569.923706 -261.686691
1 32 403.893066 -178.343689
2 32 459.746826 -93.811127
0 33 599.892456 -261.933838
1 33 432.794189 -173.487915
2 33 487.499268 -83.650604
3 33 509.740479 -233.817932
4 33 599.892456 -261.933838
0 34 605.714355 -261.553864
1 34 438.378418 -171.604523
2 34 492.462402 -80.542664
0 35 619.917969 -259.718018
1 35 451.787598 -166.884766
2 35 505.058105 -73.197479
0 36 30.847473 -259.102036
1 36 -17.797058 -263.890015
2 36 112.902283 -241.453171
0 37 577.333618 -255.190903
1 37 409.537598 -170.130402
2 37 463.309937 -84.023041
3 37 487.571289 -228.314240
4 37 577.333618 -255.190903
0 38 617.171021 -254.589584
1 38 448.096436 -161.737610
0 39 490.277832 -253.001373
1 39 326.240479 -184.054169
2 39 384.581299 -113.034637
3 39 404.234619 -230.739182
4 39 490.277832 -253.001373
0 40 577.588745 -249.791168
1 40 409.010742 -164.596191
2 40 461.916504 -78.291321
0 41 -80.305115 -247.886002
1 41 -133.427612 -271.507080
2 41 2.496521 -265.009796
0 42 25.870789 -248.062119
1 42 -23.784485 -254.138672
2 42 105.708618 -232.670883
3 42 -3.659058 -249.025818
4 42 25.870789 -248.062119
0 43 599.044434 -248.176300
1 43 429.271240 -158.426910
2 43 480.731445 -68.116882
3 43 508.042969 -220.233032
4 43 599.044434 -248.176300
0 44 146.803833 -243.808075
1 44 108.950012 -228.543411
2 44 237.296265 -186.755188
3 44 120.395569 -238.136765
4 44 146.803833 -243.808075
0 45 637.918579 -242.677719
1 45 466.408081 -145.110474
0 46 -99.414612 -241.887527
1 46 -152.681580 -268.935379
2 46 -16.157166 -265.146576
0 47 609.710693 -239.926453
1 47 437.663208 -147.429077
2 47 486.503418 -54.771545
3 47 517.309082 -211.252502
4 47 609.710693 -239.926453
0 48 -87.018188 -239.035629
1 48 -140.631409 -264.259064
0 49 614.460327 -237.441177
1 49 441.835205 -143.839355
2 49 489.899170 -50.148682
0 50 538.496460 -235.989441
1 50 368.588501 -157.100952
0 51 557.662231 -230.851166
1 51 385.782837 -147.486603
2 51 434.929932 -64.131134
3 51 467.200317 -205.319580
4 51 557.662231 -230.851166
0 52 -60.929260 -229.501923
1 52 -114.052734 -250.926483
0 53 99.772766 -230.013245
1 53 56.044739 -223.317169
0 54 -102.400757 -228.662964
1 54 -155.735168 -257.015259
2 54 -20.294495 -254.111450
0 55 602.498901 -228.962646
1 55 428.491333 -136.822296
2 55 475.127563 -44.903381
3 55 510.266968 -201.205261
4 55 602.498901 -228.962646
0 56 615.104858 -227.190689
1 56 440.285645 -132.684387
2 56 486.024536 -38.489288
0 57 159.753479 -224.960510
1 57 123.032166 -206.997238
0 58 558.429810 -225.194504
1 58 385.447144 -141.838562
2 58 433.622925 -58.431488
3 58 467.789185 -199.730865
4 58 558.429810 -225.194504
0 59 598.069092 -224.933640
1 59 423.220215 -133.422974
2 59 469.183960 -42.294952
3 59 505.552979 -197.303650
4 59 598.069092 -224.933640
0 60 605.732178 -224.682358
1 60 430.609375 -131.870789
0 61 173.015503 -224.378922
1 61 138.264343 -203.834152
0 62 90.073792 -221.912140
1 62 44.510498 -216.994385
2 62 169.672546 -185.291840
3 62 61.667053 -220.313522
4 62 90.073792 -221.912140
0 63 38.196777 -220.999420
1 63 -11.082214 -225.521240
2 63 115.108276 -202.191406
0 64 554.096680 -221.408401
1 64 380.477539 -138.345886
2 64 427.965698 -55.151947
0 65 599.548828 -219.749329
1 65 423.089722 -127.662903
2 65 467.693604 -36.317566
0 66 587.955200 -218.679291
1 66 412.114624 -128.510712
2 66 457.178955 -39.295471
3 66 495.514038 -191.641541
4 66 587.955200 -218.679291
0 67 170.033325 -218.142624
1 67 135.156799 -198.136322
0 68 22.992065 -215.847412
1 68 -27.315125 -223.293716
0 69 30.881531 -212.796402
1 69 -19.070496 -218.947525
0 70 606.191772 -211.840683
1 70 428.408325 -117.890076
0 71 39.175476 -209.164215
1 71 -10.468689 -213.638046
2 71 114.589355 -190.359039
0 72 602.030884 -208.711411
1 72 423.740234 -115.319885
2 72 465.781982 -23.031616
3 72 508.309814 -180.780670
4 72 602.030884 -208.711411
0 73 28.971558 -208.329880
1 73 -21.439331 -214.505859
0 74 102.777771 -206.920990
1 74 58.599487 -199.763702
2 74 182.197449 -165.569244
3 74 74.974976 -205.004562
4 74 102.777771 -206.920990
0 75 594.979492 -207.030365
1 75 416.487183 -114.927155
2 75 458.558472 -23.918213
0 76 75.463806 -202.589081
1 76 28.275330 -200.622513
2 76 151.457947 -171.343048
3 76 46.959045 -202.588669
4 76 75.463806 -202.589081
0 77 622.890503 -202.705124
1 77 442.530273 -104.702637
0 78 -84.895142 -200.739380
1 78 -139.133545 -227.726593
