14 22106 67362
2 0     -667.92 123.11
7 0     -599.18 407.93
12 0     -720.43 314.34
13 0     -115.13 55.48999
10 1     353.1899 164.95
2 2     494.72 112.52
6 2     408.78 284.67
7 2     424.61 310.17
9 2     284.89 192.89
10 2     582.62 363.72
12 2     494.0601 293.95
13 2     796.83 -78.53003
15 2     779.89 408.25
2 3     498.54 101.56
6 3     412.31 272.92
7 3     426.73 299.59
8 3     468.38 55.12
9 3     287.95 183.94
10 3     584.05 350.97
12 3     497.3199 282.51
15 3     781.95 393.26
2 4     7.780029 326.35
3 4     -137.24 -7.799988
5 4     750.0699 -78.71997
6 4     -116.09 664.22
8 4     87.04999 256.31
9 4     -147.19 357.8
11 4     456.92 -197.16
13 4     463.58 241.03
14 4     648.25 -159.57
3 5     18.59003 -206.8
4 5     -209.53 -421.76
5 5     635.09 -561.62
6 5     -67.38 125.83
7 5     -90.81 209.36
8 5     125.18 45.23999
9 5     -20.71997 179.92
10 5     -87.20001 255.02
13 5     367.26 -140.34
15 5     -28.14001 270.52
2 6     -58.41998 110.83
6 6     -197.08 369.31
9 6     -191.66 169.38
10 6     109.59 566.25
12 6     -45.34003 365.6
13 6     369.87 47.92999
14 6     537.6 -395.3
3 7     57.06 -224.6
4 7     -232.1 -433.7
5 7     662.83 -597.74
6 7     -30.60999 97.16998
7 7     -67.69 180.03
8 7     154.11 27.48001
10 7     -66.96997 217.35
12 7     -11.44 151.79
13 7     388.11 -165.83
15 7     -5.02002 227.42
3 8     -33.17999 -226.34
4 8     -205.11 -388.32
5 8     580.3199 -563.41
6 8     -124.53 110.21
7 8     -135.03 201.45
8 8     81.46002 30.72
10 8     -135.97 252.68
12 8     -97.39001 164.67
13 8     325.92 -144.4
15 8     -83.90997 266.91
5 9     116.77 -229.68
8 9     -386.05 120.35
11 9     -107.96 -333.57
13 9     -37.58002 91.17999
14 9     32.28998 -321.24
3 10     -243.48 -93.78998
5 10     607.8101 -167.18
7 10     -26.39001 567.91
14 10     513.88 -248.94
2 11     -590.9 107.88
7 11     -520.58 404.79
8 11     -404.3 73.10999
11 11     -129.62 -375.54
12 11     -631.33 312.14
13 11     -56.96997 49.44
14 11     6.109985 -371.89
7 13     -527.23 433.96
10 13     -512.18 593.13
11 13     -130.62 -352.43
12 13     -638.95 346.4
5 14     -64.96002 -450.49
7 14     -638.51 224.2
10 14     -649.23 359.27
11 14     -260.3 -514.9
5 15     -3.280029 -353.99
7 15     -598.04 322.92
8 15     -476.11 1.820007
10 15     -598.17 468.72
11 15     -207.25 -435.32
13 15     -127.16 -14.40002
14 15     -84.52002 -447.5601
15 15     -604.15 506.44
5 16     23.46997 -334.68
7 16     -575.47 345.45
8 16     -455.15 20.5
10 16     -571.17 493.77
11 16     -185.19 -419.24
12 16     -693.74 240.19
15 16     -573.82 535.48
11 17     -336.72 -318.96
2 18     -723.17 173.14
10 18     -665.73 613.29
5 19     -110.03 -323.79
7 19     -717.1 334.9
8 19     -577.03 22.10999
10 19     -738.15 490.09
15 19     -763.39 525.87
7 20     -744.57 282.44
13 20     -243.53 -37.73999
15 20     -799.69 458.79
5 21     -141.43 -384.39
7 21     -732.69 272.94
10 21     -757.47 420.34
11 21     -327.78 -460.61
13 21     -236.21 -46.04999
14 21     -222.18 -481.22
15 21     -784.36 445.9
5 22     -74.29999 -243.94
7 22     -702 419.15
8 22     -554.19 100.39
11 22     -276.38 -345.84
13 22     -191.7 70.29999
14 22     -156.76 -338.14
2 23     -723.76 145.21
5 23     -29.13 -247.14
7 23     -652.79 422.71
8 23     -512.31 99.54999
10 23     -661.3 586.92
11 23     -236.4 -348.09
13 23     -154.6 70.46997
14 23     -111.52 -339.96
5 24     -116.85 -282.15
7 24     -736.59 374.88
8 24     -589.07 61.62
10 24     -760.14 536.29
11 24     -311.24 -377.1
13 24     -223.34 36.29999
14 24     -198.6 -377.87
15 24     -788.7 578.49
2 25     -718.93 166.08
4 25     3.25 -112.54
5 25     -22.32001 -229.46
7 25     -650.54 440.52
8 25     -508.33 116.31
10 25     -657.76 607.51
11 25     -231.61 -334.19
12 25     -780.93 352.16
13 25     -150.78 84.48001
14 25     -105.45 -322.87
5 26     -102.1 -250.73
7 26     -729.98 408.08
8 26     -579.09 92.37
10 26     -752.75 574.64
11 26     -300.49 -351.95
13 26     -214.13 63.09003
14 26     -184.52 -345.53
5 27     -47.01001 -295.67
7 27     -660.24 372.67
10 27     -671.67 529.23
11 27     -252.85 -386.9
12 27     -792.56 272.46
13 27     -166.09 30.47998
15 27     -689.55 573.4
4 28     -50.22998 -132.83
5 28     23.13 -325.78
7 28     -577.86 353.48
10 28     -573.67 503.2
11 28     -185.73 -412.36
13 28     -107.28 10.37
14 28     -58.21002 -418.01
15 28     -577.12 546.18
12 29     376.97 -126.93
15 29     397.15 -151.04
2 30     -509.01 204.16
4 30     4.530029 -223.66
8 30     -338.66 150.7
11 30     -55.45001 -307.44
12 30     -549.92 419.91
14 30     92.03003 -289.19
4 31     -34.35999 -89.71997
7 31     -668.69 358.58
8 31     -531.93 41.14999
11 31     -260.03 -397.53
12 31     -801.64 255.02
15 31     -698.87 556.02
5 32     25.56 -305.21
7 32     -580.57 373.65
8 32     -457.03 48.29999
11 32     -184.43 -395.25
12 32     -700.07 273.47
13 32     -106.47 26.95001
14 32     -56.03003 -397.32
15 32     -580.61 572.84
2 33     -653.68 162.59
7 33     -586.86 444.59
14 33     -46.54999 -325.59
2 34     -722.29 162.6
7 34     -653.57 436.73
10 34     -662.04 602.9
14 34     -108.98 -326.03
2 35     -605.63 137.16
7 35     -537.91 428.05
10 35     -525.2 587.43
14 35     -5.030029 -347.17
2 36     -604.55 143.24
5 36     80.33002 -250.65
7 36     -537.02 433.87
8 36     -415.96 100.39
10 36     -524.04 593.12
11 36     -139.5 -350.71
14 36     -3.22998 -342.12
7 37     -657.01 299.68
12 37     -789.15 180.29
15 37     -680.96 479.79
5 38     -126.41 -216.05
7 38     -767.37 439.82
10 38     -796.87 613.7
14 38     -208.92 -311.69
2 39     -641.92 245.95
5 39     55.09003 -163.18
12 39     -705.45 443.41
2 40     -393.25 271.26
3 40     -520.56 -59.33002
5 40     299.72 -140.23
7 40     -334.1 567.11
8 40     -243.81 204.96
11 40     51.04999 -258.45
12 40     -423.62 505.52
14 41     315.64 -185.36
2 42     -163.22 330.85
3 42     -298.13 -3.320007
4 42     42.72998 -457.72
5 42     550.9 -81.03003
6 42     -327.84 632.29
9 42     -293.08 356.43
11 42     276.42 -203.58
12 42     -158.28 602.06
13 42     305.87 232.15
14 42     455.02 -165.03
2 43     -405.17 294.61
5 43     290.03 -119.38
7 43     -347.93 586.97
12 43     -439.46 528.3
2 44     -486.54 276.3
3 44     -612.68 -52.27002
5 44     206.79 -136.52
7 44     -430.84 561.48
11 44     -32.87 -256.45
12 44     -531.98 497.39
2 45     -232.05 338.49
6 45     -413.1 626.1
9 45     -352.07 361.42
12 45     -240.31 600.34
14 45     380.9399 -161.88
3 46     243.85 -272.65
4 46     -323.59 -556.1801
6 46     174.86 37.90997
7 46     98.14001 108.14
8 46     313.37 -20.66
10 46     114.68 117.44
12 46     195.39 84.67999
13 46     534.2 -237.36
15 46     209.29 112.07
5 47     737.66 -568.7
10 47     3.119995 256.68
12 47     58.71997 196.8
13 47     448.99 -138.48
15 47     76.90997 274.3
3 48     -171.87 -295.36
5 48     464.03 -562.9301
6 48     -258.03 75.90997
7 48     -214.48 189.93
9 48     -182.46 99.45999
10 48     -211.55 255.23
12 48     -207.87 128.21
15 48     -167.81 268.03
3 49     286.92 -149.37
7 49     370.39 378.09
8 49     408.86 111.92
9 49     224.8 241.16
10 49     524.8199 452.14
13 49     744.08 -15.17999
15 49     709.29 513.05
3 50     1.299988 -174.3
4 50     -182.76 -429.79
5 50     636.21 -512.03
7 50     -88.65997 254.2
10 50     -77.59998 309.17
12 50     -47.88 228.98
15 50     -16 334.71
3 51     198.02 -173.19
6 51     146.96 170.23
7 51     102.31 230.65
8 51     287.63 70.06
10 51     134.16 260.23
12 51     178.49 217.68
13 51     533.04 -134.31
2 52     257.0699 125.23
3 52     156.12 -188.2
4 52     -238.58 -520.35
6 52     87.78003 142.58
7 52     38.13 208.82
8 52     244.84 56.85001
9 52     99.75 198.96
10 52     56.94 241
12 52     112.32 193.83
13 52     482.1 -147.88
15 52     140.6899 256.73
2 53     215.8 118.67
3 53     117.65 -195.35
4 53     -232.74 -486.8101
6 53     42.44 131.2
7 53     -3.820007 203.06
8 53     209.93 51.20999
10 53     8.090027 237.4
12 53     64.70001 184.12
13 53     445.88 -150.42
15 53     83.01001 252.05
2 54     -99.34998 233.73
5 54     612.6899 -171.87
6 54     -244.92 531.72
7 54     -22.27002 564.51
8 54     -2.030029 181.05
11 54     338.67 -276.68
12 54     -78.45001 508.61
13 54     356.6 160.84
14 54     518.4301 -253.3
2 55     103.7 132.83
3 55     9.039978 -184.8
5 55     637.04 -529.17
6 55     -73.06 159.24
7 55     -88 238.89
10 55     -79.59003 290.28
12 55     -44.72998 212.73
13 55     368.63 -115.67
15 55     -18.84998 312.24
2 56     186.04 94.04999
3 56     92.17999 -219.13
5 56     702.5699 -604.39
6 56     9.23999 99.94
7 56     -37.56 179.13
8 56     184.45 30.75
10 56     -33.09998 212.12
12 56     28.02002 153.95
13 56     416.4399 -168.86
15 56     35.17999 222.02
2 57     -99.34998 233.73
4 57     -14.21002 -491.85
5 57     612.6899 -171.87
6 57     -244.92 531.72
7 57     -22.27002 564.51
8 57     -2.030029 181.05
11 57     338.67 -276.68
12 57     -78.45001 508.61
13 57     356.6 160.84
14 57     518.4301 -253.3
2 58     275.61 238.57
3 58     135 -87.41998
6 58     179.08 482.87
7 58     278.8 496.58
10 58     441.5699 615.04
12 58     290.63 475.34
2 59     -98.92999 191.3
3 59     -238.87 -140.02
5 59     609.1 -213.27
7 59     -20.75 524.48
8 59     -1.27002 146.78
9 59     -232.34 236.59
11 59     339.35 -311.5
12 59     -75.19 463.81
13 59     354.49 127.88
14 59     516.42 -294.15
2 60     84.04999 2.940002
3 60     -1.890015 -309.19
7 60     -131.57 109.42
8 60     99.83002 -42.60999
15 60     -90.90997 139.14
2 61     -256.86 178.75
3 61     -391.66 -152.24
4 61     -28.70001 -372.19
5 61     431.39 -223.56
7 61     -189.05 498.45
8 61     -132.49 135.19
12 61     -260.52 430.4
13 61     214.24 111.29
14 61     342.5699 -308.84
3 62     272.62 -162.13
8 62     396 101.81
9 62     210.64 226.37
10 62     507.38 440.73
15 62     688.8199 499.29
2 63     260.76 -122.15
3 63     175.17 -423.42
4 63     -392.42 -446.42
6 63     77.72998 -140.6899
7 63     -11.16998 -33.94
8 63     237.63 -150.89
10 63     -24.77002 -35.17999
12 63     83.28003 -93.06
15 63     46.48999 -68.78998
4 64     -419.27 -320.72
7 64     -152.43 -132.57
8 64     97.72998 -274.52
9 64     -17.82001 -145.52
10 64     -183.89 -126.35
12 64     -87.70001 -236.56
13 64     294.78 -433.13
15 64     -136.02 -177.24
2 65     430.33 -169.71
3 65     339.65 -464.53
4 65     -487.03 -558.3
6 65     252.37 -187.72
7 65     133.29 -94.27002
8 65     377.51 -193.6
9 65     256.84 -38.06
10 65     133.55 -120.36
12 65     263.51 -150.17
15 65     233.42 -168.15
2 66     267.98 121.95
3 66     166.05 -191.16
4 66     -244.24 -526.28
6 66     99.25 137.52
7 66     46.46002 203.15
8 66     253.16 53.89001
9 66     108.37 196.21
10 66     65.96997 233.23
13 66     489.91 -153.07
2 67     250.62 -42.96997
3 67     160.27 -348.63
4 67     -341.45 -463.55
6 67     71.46002 -52.69
7 67     -3.72998 41.87
8 67     232.84 -84.34003
10 67     -8.080017 50.87
12 67     83.14001 -3.030029
13 67     442.67 -288.29
3 68     181.99 -388.3
7 68     9.419983 2.76001
10 68     3.859985 5.25
13 68     452.92 -323.51
15 68     79.71997 -21.25
2 69     465.46 169.05
6 69     378.54 349.76
7 69     404.91 367.66
8 69     442.35 111.41
9 69     258.39 239.61
12 69     464.89 358.71
13 69     778.15 -25.87
2 70     309.96 -34.65997
3 70     215.5601 -337.02
4 70     -354.3 -509.92
6 70     134.85 -40.78003
7 70     53.13 46.40997
8 70     282.45 -77.83002
10 70     57.28998 50.51001
12 70     149.82 5.809998
13 70     493.1801 -288.53
15 70     142.2 32.88
2 71     615.1 -56.21997
3 71     484.96 -359.68
7 71     510.12 134.58
8 71     562.96 -77.34998
10 71     668.79 143.33
3 72     135.81 -375.9
6 72     43.40997 -81.14001
7 72     -28.95001 21.52002
8 72     210.22 -106.91
9 72     82.14001 34.66998
10 72     -37.78998 30.92999
12 72     53.90997 -31
13 72     418.63 -304.44
15 72     31.17999 8.48999
2 73     243.53 170.63
3 73     133.15 -147.83
